,American Samoa,Argentina,Armenia,Australia,Austria,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cameroon,Canada,Cape Verde,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Czech Republic,Ecuador,England,Ethiopia,Finland,France,Gaza,Georgia,Germany,Ghana,Greece,Guatemala,Guinea-Bissau,Hong Kong,India,Indonesia,Iran,Iraq,Ireland Northern,Ireland South,Israel,Italy,Japan,Jordan,Kenya,"Korea, South",Libya,Macedonia,Malaysia,Mali,Martinique,Mexico,Mongolia,Morocco,Netherlands,New Caledonia,New Zealand,Nicaragua,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Republic of Kosovo,Romania,Russia,Rwanda,Samoa,Sao Tome and Principe,Saudi Arabia,Scotland,Senegal,Singapore,South Africa,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Taiwan,Tanzania,Thailand,Tunisia,Turkey,Uganda,United Arab Emirates,United Kingdom,United States,Venezuela,Vietnam,Wales,Zambia,Zimbabwe
American Samoa,0.0,0.6506043850577145,0.5473071664158216,0.42435300082892496,0.5739617501356686,0.6057347784691722,0.6058733034803148,0.5524353209455184,0.562302854604666,0.5620238095961824,0.7411294602759957,0.7279357869183394,0.4865374867164309,0.6259806996437026,0.5268731090804158,0.47626567680904947,0.548852973465311,0.5826529054507857,0.5326857308535345,0.6009954421339458,0.5567294953082799,0.5998330379399185,0.5753718492171107,0.7284509088028303,0.5655500661293049,0.5691410216939415,0.6194204706818307,0.5576228928845297,0.5424422190279431,0.7477186895237076,0.5381577223682356,0.5002090736589763,0.6948408343013374,0.46441211231904644,0.5389938422733652,0.4918933999260096,0.5897557953458982,0.6376517991880895,0.5857688881885041,0.5848412351345637,0.599652008141725,0.5558380036369357,0.3803292615772905,0.5718051858892981,0.6973239048118636,0.4427131275990453,0.6096134312845052,0.7214967232253153,0.5439606700589733,0.7757762990978726,0.822281868565465,0.464606045361743,0.44602538908090295,0.6122328063902946,0.5562525101083458,0.3653974947225329,0.25618526053943186,0.5044782684545867,0.5085756117722752,0.5261024671117119,0.5221023053848383,0.3686076963888492,0.6912219543833276,0.5709097337750761,0.37467560365432323,0.5413119190723319,0.5712700047309244,0.5351763462836334,0.5413871582466967,0.5056232504594831,0.8269881211017635,0.0,0.7019584551013986,0.5905320268953055,0.8206873279687339,0.7354214857473901,0.47573648704762944,0.6013697617308461,0.5692651389175886,0.5443521738155366,0.6525194159334431,0.5117218706870335,0.7842478610764848,0.3548750264830654,0.7032527175020237,0.5891845937975454,0.6231858770195156,0.523378469186155,0.6624524406711866,0.5984200201677244,0.5627318803953275,0.5228084612939982,0.5952635323357458,0.5292021884124068,0.5739829053065785,0.7249220778758952,0.742480213689698
Argentina,0.6506043850577145,0.0,0.4912507113440153,0.6020734471980148,0.47739127870686987,0.5109797917320452,0.5708022251470122,0.49772579455976684,0.40594886484950665,0.5427367971638732,0.6092194438401246,0.6495681935383061,0.48935609515687895,0.5246501264384039,0.4772794136301505,0.6110015000211968,0.4576499826611107,0.5408354393169269,0.46760566406510035,0.4886534652956144,0.47362264371080903,0.5211448496289409,0.5063429345097061,0.5760504639567239,0.5171360854859057,0.466177728654954,0.5338554619871709,0.47539277294131194,0.4916219536383703,0.620460002538748,0.47266666992922135,0.5519240670106302,0.5813693608528523,0.6566873919980036,0.4921819301759814,0.6885338373815311,0.5309815015388617,0.5717243270037762,0.526473664013496,0.5207886711230477,0.45250850297575257,0.5003653070369999,0.5475161531808969,0.5830450132511528,0.583231815927625,0.5684286693411915,0.45680615547996944,0.7896781098070235,0.5950043409777541,0.6656355923919911,0.8112509055499537,0.4856235190829752,0.547532346265611,0.4920688824771815,0.5015638722797626,0.678915996542513,0.641446601796922,0.4447156427367654,0.4457555055570856,0.5023180222065322,0.4536520130184574,0.7249816400335234,0.46885822782957165,0.5344752900689527,0.6707542778714874,0.47909633118455186,0.46451445259282437,0.49807683190634433,0.46317086179113587,0.47572545959180657,0.7994551416738817,0.6506043850577145,0.5728503348195387,0.4736003541776014,0.6130372093497592,0.6138791608494832,0.6120472290503742,0.5326678594520152,0.5070560111285718,0.5685633121544792,0.5060998634170216,0.5211909431682976,0.5772659871437776,0.6578209785657192,0.5950678651077952,0.6668843937087794,0.5025121010686247,0.4715892931911492,0.5214976501491978,0.4987807747929927,0.5070103582265278,0.5081135080925716,0.6517929603838891,0.652397977410915,0.5123001265883744,0.6244559212961248,0.6496852676580369
Armenia,0.5473071664158216,0.4912507113440153,0.0,0.46341586617202823,0.29180768950566766,0.3240945899931392,0.5400838527347224,0.26938377491797977,0.34476718782280596,0.3518847188115112,0.6637777137441431,0.5689185749496392,0.4255825777164156,0.36643451778380504,0.4165806852314892,0.46188527506067334,0.4889537224404754,0.5024521767170335,0.25869936229927953,0.3244177992039593,0.265353111461863,0.49287007379358705,0.28680482232506516,0.5194983176580467,0.3612037204171247,0.25952160890044723,0.3567680731347562,0.3698032282238201,0.25543291684210506,0.5658938859529099,0.24850151863505388,0.5016758086227832,0.4653012349081441,0.5344381812490322,0.40973472168496805,0.5789363338024616,0.4227142247942267,0.3950465897115365,0.30061658254374957,0.3097240516835396,0.36326631302731005,0.26181111301474985,0.4934558953029327,0.3498296393416501,0.5114830201726088,0.47422684003592286,0.2945500850466938,0.6889487727060564,0.49954661846025333,0.5979052022208919,0.7704555179034778,0.4450369342315984,0.37911001598482447,0.3093216473981209,0.2615632363364062,0.5987534313200983,0.5164893620051882,0.34712544853635435,0.25938056649563684,0.3301962344259903,0.36221156032326346,0.6327661521947252,0.6636535330359719,0.5378805889950163,0.5988612436336903,0.2467324239827129,0.2818741913506247,0.27093729324800003,0.23562398932094286,0.2809600273930436,0.7654384533560724,0.5473071664158216,0.5028655038287468,0.33632068102821605,0.7302967102219825,0.5460840485287879,0.4999802182574031,0.4120500035734436,0.32706686988347367,0.44611012511379894,0.3958402633798159,0.34823278812451297,0.5581986691706472,0.5498720786472886,0.5182381036039156,0.593178092001503,0.3529852330251434,0.20429666106266053,0.432455160023908,0.34324338965465856,0.2750825623525237,0.3623937446933176,0.64794876566657,0.5472394325236978,0.30096231516912775,0.5739003296481447,0.6025386949058599
Australia,0.42435300082892496,0.6020734471980148,0.46341586617202823,0.0,0.4498255592085968,0.4575114319774731,0.5828419875280836,0.44124904199368853,0.4756988715618486,0.46331934194710184,0.6990458381984372,0.6477434110430172,0.5148695730727784,0.5348264099432587,0.4866386347310344,0.4882260208214679,0.5352427459847993,0.5657521584449835,0.4307883762164039,0.49350974894501926,0.4464300212852683,0.5476515317980191,0.441195159260436,0.6507865616103379,0.4652218528514655,0.44080078731893796,0.5047880249838725,0.5109589988583046,0.4281728150576392,0.6748390054147569,0.4334208232383584,0.5271341181716375,0.5989805573715533,0.5229788905278726,0.49416291756927344,0.5022847831406215,0.5261585303821626,0.5702012332149718,0.4403883292749322,0.4481855390905607,0.5248712391815294,0.43584765417744964,0.5034471831367571,0.5126598923452015,0.5937764408282923,0.5139953150730934,0.48999732714857436,0.7014465461899135,0.5121941526567336,0.6824768060495777,0.8186010565529462,0.5212404055521989,0.44900968232668953,0.4847639078412684,0.433066808592166,0.3916405331083026,0.3639869797665332,0.4779600655958553,0.4148270051141384,0.49729819099606026,0.4787381042212536,0.4353319311366764,0.6765610998225797,0.5637330495821119,0.44099396435677973,0.4400793598095468,0.45671297583650605,0.4579195094464055,0.42710192570164457,0.437904996177931,0.8113750785172235,0.4243530008289249,0.6105254950789166,0.4883300868211575,0.7700480719844056,0.6565707313318827,0.4733422888839581,0.5031672715059168,0.48021474028714606,0.5137140538268525,0.546569761721553,0.46667327457952335,0.6781119829141656,0.49512773181508263,0.5990260186795225,0.5916642505827664,0.5194815418152017,0.4321264582719448,0.5566760186764921,0.4876760791053245,0.4308556912336261,0.46250594169849346,0.61954927327696,0.5544586511173398,0.42428411774259317,0.6646426813368302,0.6671898496077924
Austria,0.5739617501356686,0.47739127870686987,0.29180768950566766,0.4498255592085968,0.0,0.2284720332124338,0.5056233204237968,0.17755700041350456,0.3269399490757754,0.32829454649195966,0.5912600563549348,0.5395935133373999,0.40074503649756543,0.3622819360849237,0.40158691793205187,0.5140255219915962,0.48612853295791675,0.5014570308455646,0.19563109984232954,0.286237665487703,0.1644136055821153,0.49520463807041165,0.1745272133317712,0.5026241549742421,0.2785371037107066,0.16240703566872466,0.346099413578994,0.3915034260462276,0.18934925587287665,0.5253016521099435,0.2103049313992556,0.46913223368043905,0.41425594883614236,0.577029030415554,0.4293997371943423,0.6129169562771697,0.43346578671994745,0.49521162557678283,0.1853955444965766,0.20680334302050937,0.40129318051794516,0.189057088929236,0.5237310949424003,0.3970285038986803,0.4343305666422451,0.5080264130670636,0.27199090959875594,0.7230337177234109,0.533892033599843,0.5689962934662567,0.7885279368516642,0.4283470933641519,0.4212152054860575,0.27012376105352026,0.16372688063023486,0.6178203738531549,0.5378766471260726,0.31025219193352094,0.2431718151824073,0.3960241672486687,0.3564211745084004,0.6843100657577186,0.6125836718566804,0.49976398785423987,0.593653451735504,0.17443027245401296,0.23851343112266682,0.21296917832053805,0.18501978047614778,0.23249566890803192,0.7910860066294894,0.5739617501356686,0.4587758322313979,0.30751439295157174,0.697200861689215,0.5395596621470534,0.5419070744339316,0.3812937016305375,0.28245618199535416,0.48391127752838237,0.35885129403306676,0.29754107501156263,0.5326098489948063,0.5966959116325342,0.4307189602487331,0.6365432649661408,0.3544179179637409,0.23374851524824497,0.38491081859777554,0.3274128421867449,0.1674356106812734,0.31407115201758,0.592143543217106,0.6107218457812164,0.17087466240312701,0.5325834347737429,0.5468345725643967
Belgium,0.6057347784691722,0.5109797917320452,0.3240945899931392,0.4575114319774731,0.2284720332124338,0.0,0.5143487816978854,0.22612405299856853,0.35075756924080154,0.34806050495834706,0.6199488137912167,0.5423507539616947,0.3963418960552226,0.38922867460359073,0.3770780551119017,0.5391004918922788,0.5155076555508971,0.5345115491160582,0.2367130560168058,0.3179238126046204,0.20658407803928022,0.5061469866106842,0.16983677750085346,0.5598293654820439,0.2262333785394665,0.18815440440951897,0.38318318992123174,0.4365315122273661,0.23477716779617383,0.5653840232900189,0.2682712116720546,0.4822200605089857,0.4490557990290322,0.5953868129252808,0.4554071772458528,0.6297237174286952,0.44442868401899654,0.5322866769326193,0.15476000517229255,0.1842649529824911,0.46879912961187953,0.22674996054392463,0.5458136275847973,0.4426199561059209,0.476613073741192,0.5363533399266638,0.341578079907734,0.7075349272805812,0.5485581908235029,0.5940026181961464,0.8024453473291773,0.43565973227856697,0.43350403983225816,0.33120878647624163,0.16104415095003602,0.6452573352252489,0.5641184962097426,0.36168646273946864,0.2659568259399508,0.41912383908062456,0.39105870557147326,0.7004333915567632,0.6339620034154408,0.4895500658102943,0.6019872967011469,0.2590132458580155,0.23090423072692823,0.2810790378924307,0.20619180877840157,0.26979091963157553,0.7970270060489704,0.6057347784691722,0.5200229579415875,0.3436482949682057,0.6927844905460793,0.5484445937404048,0.5563546333484458,0.42388741598865887,0.3163206554461515,0.48433315082955203,0.4193188276587425,0.27781310698892486,0.5633929012106222,0.6293428680624849,0.4945829410425171,0.6483235753958279,0.4050960027609084,0.2982210253566403,0.42516066300061195,0.33544559850691624,0.1594725856920198,0.3488277359023652,0.6556973457685962,0.6297871648895735,0.16370408655504756,0.5532851239092486,0.5870087061438567
Bolivia,0.6058733034803148,0.5708022251470122,0.5400838527347224,0.5828419875280836,0.5056233204237968,0.5143487816978854,0.0,0.4760228828844246,0.4849673634659668,0.5003405423461622,0.6191409928769948,0.6898791071411722,0.43607292432595784,0.5804090833802404,0.44454647045414325,0.6142157187641917,0.562770125906162,0.5629468181414264,0.48719314038377937,0.5217163350975362,0.5070644071807301,0.5756966193446814,0.49965799248373866,0.6829548499065907,0.49994516099564107,0.5077777374970746,0.591713214029547,0.5803483874476483,0.49241104197486124,0.6708012555195991,0.48638286412181303,0.5015789940293851,0.5691784338699537,0.6250909146059355,0.5956497934814184,0.6802999083052239,0.6094667021584838,0.6834858870249748,0.5157995250979235,0.5247992926632715,0.594331590253735,0.508845229563364,0.548805505094758,0.5820004313912077,0.6081297872991597,0.5860044173631965,0.5595455945236335,0.8325546111576977,0.5816798151213857,0.6861350374330191,0.8051512225097854,0.5002047253367418,0.5350724908300449,0.5723773029198642,0.4885602578546716,0.6765497904139635,0.6271565016285501,0.5130949997170684,0.502354378182517,0.6103998532925268,0.4966030692814008,0.7173443710296169,0.5749393341651144,0.2514138427019022,0.5337722040077477,0.5029158110102196,0.48013018639845734,0.4538983573916082,0.49309042427802097,0.48690679673118376,0.8049919696127775,0.6058733034803148,0.6443671522901814,0.5148448300721684,0.7924519174338447,0.649682980252365,0.6181676218661144,0.6106951551955259,0.49993168619819023,0.6314906306930143,0.5792380693250222,0.5142065886070809,0.7358515875248092,0.6187333802378849,0.6245387529492369,0.7194366989662261,0.6001720841739909,0.5021636741488683,0.6151093079861769,0.5651769877022554,0.49908060107303376,0.5117804256427215,0.585907118760458,0.6824066392238378,0.5041945940220649,0.6667099245759117,0.6820800962519051
Bosnia and Herzegovina,0.5524353209455184,0.49772579455976684,0.26938377491797977,0.44124904199368853,0.17755700041350456,0.22612405299856853,0.4760228828844246,0.0,0.34652168701088226,0.2523952109348599,0.601195512602344,0.5744926849840114,0.39793711837665374,0.38588046331212417,0.39611928575393573,0.4991731211874701,0.5044258146391468,0.5191497863525503,0.14643513418968016,0.3137012900341577,0.14388768385431697,0.4979332781532762,0.14901430824482645,0.5508590324404011,0.26093053614505707,0.18047783523648134,0.3494117799659467,0.3893863707134552,0.16712381015376246,0.5697526860850808,0.15933807349325854,0.45382528394912663,0.44021560583951097,0.561122544802738,0.43577457525415153,0.5978439313679925,0.41800527762674305,0.47605139527524026,0.17641981897954795,0.17358155183213025,0.40366994256700267,0.16250459186094213,0.5114659674837198,0.36427141149750647,0.48879765649470663,0.4972702370559266,0.285841409897633,0.7037349937155538,0.5107590797371837,0.6127711962917896,0.7959084839486945,0.42725421222070187,0.4011473722617728,0.3117355538190286,0.1589003784721806,0.6172575820273599,0.5233477194366941,0.3379481466882386,0.19749530180763203,0.37247822658867297,0.3712132086225702,0.6717258593781568,0.6324483517052053,0.4778699295763478,0.5767872344093545,0.13041455789655282,0.21903504569420115,0.17339231864760163,0.1376786328641297,0.21795032441644785,0.7942214189623926,0.5524353209455184,0.5162246493328865,0.31315930530020575,0.7261087874463097,0.5563994702792914,0.5264723465137828,0.42179828017344423,0.2873786694952509,0.4652561576275557,0.3940401569797255,0.2903076082228786,0.5484812030574177,0.5810842320923216,0.4925756436738814,0.6242872789544293,0.3816137412389773,0.19305864096184588,0.42708003752957835,0.32176711747273823,0.13542912428946824,0.32787077039045054,0.6382442865231415,0.5984445693572776,0.16818195963584912,0.576761616893818,0.5996013545547888
Brazil,0.562302854604666,0.40594886484950665,0.34476718782280596,0.4756988715618486,0.3269399490757754,0.35075756924080154,0.4849673634659668,0.34652168701088226,0.0,0.4359325359199379,0.6090144507521055,0.5034483026670891,0.40006409588462094,0.34970380004927915,0.3777396439282928,0.48712554233298344,0.3437935722463342,0.3712500800771252,0.30448094586557994,0.3099269626123344,0.3169312454101258,0.4527356101487136,0.3497685212645526,0.5195394185886155,0.3972953947628696,0.295087505751435,0.40339768469680154,0.40503301482025067,0.31379196305438684,0.5264623452687377,0.3104554949646989,0.4467654595051152,0.44586856789988744,0.5560088295377218,0.3524219549488961,0.6050891375803193,0.43183290807436076,0.5025053601564832,0.36686322386990466,0.3786224512118129,0.37575535314623293,0.3216464410958104,0.4568434442658337,0.45197523326659605,0.4487433875854238,0.472337048584817,0.3533606308652515,0.7207939429394458,0.5135525475730401,0.5533470346130878,0.7653087396291123,0.39907024851475614,0.4074513095226849,0.34449484454993645,0.3271071957555229,0.5774550264454174,0.5406583424981796,0.2774561999369794,0.2816696297242454,0.3969206088248172,0.24431628426538862,0.6417050518162334,0.5884955316054264,0.4572664044216671,0.5874953904116078,0.33330263117415604,0.3133368828614251,0.3619173413204095,0.2979640565227399,0.3110302269009533,0.7628470910479614,0.562302854604666,0.4448377724862551,0.31184441012499486,0.6837573311460269,0.5009429269240121,0.5034310563709825,0.3516604315347876,0.3419966813412786,0.4704288295071602,0.3740652269385705,0.3884995986300646,0.5631541715836553,0.5556102823292002,0.4646977755089145,0.6230581022954694,0.3502537978888906,0.30459673120263464,0.371673100415093,0.36787468435389176,0.33778948327263847,0.3434474950761295,0.5608663028713247,0.5821611125693059,0.35035858486321336,0.5226698096359617,0.5309448868285899
Bulgaria,0.5620238095961824,0.5427367971638732,0.3518847188115112,0.46331934194710184,0.32829454649195966,0.34806050495834706,0.5003405423461622,0.2523952109348599,0.4359325359199379,0.0,0.6291494342804778,0.6463035125920219,0.4653146092827396,0.47313235059536685,0.4627378186293933,0.5030610573626881,0.555195063738866,0.5863412951078886,0.30390940740395544,0.40799948010767284,0.3194442750560081,0.5558344333125335,0.25758981246358814,0.6217449191500564,0.3826014752294863,0.3282454858808253,0.3610579194234949,0.48239584895060955,0.30242983481198454,0.6303981914387882,0.28510002625690617,0.5335202538170957,0.5146281040574062,0.5496150002642637,0.4801648356298477,0.5916776078267303,0.45500531226045654,0.47334819942607054,0.27243329893866347,0.27547401109973974,0.4587382552229921,0.2929779883443709,0.5483943363524746,0.3892890422208688,0.5585631531991211,0.5279970597888348,0.35587274072128494,0.6757745065544308,0.512850990794148,0.6589249623314338,0.787841154348418,0.49913471048134395,0.4131579452354154,0.3626978398066491,0.30232326631555645,0.6269928593546691,0.5225615387424672,0.44826018434076503,0.27977044864020634,0.43537360194887537,0.45113423018677545,0.643736276175501,0.6570918626079507,0.5173305590846309,0.5792618468076608,0.2926008399521661,0.3257696268703506,0.3177652738463768,0.29220821295251825,0.34988097337994645,0.7831710216035229,0.5620238095961823,0.5695195727059074,0.40676128837313696,0.7668852614461459,0.6116087560934275,0.5276895545503859,0.462949069497897,0.3581909140964174,0.4715556761069482,0.47579276290896005,0.4212083041706883,0.5819631897328784,0.5837541747458972,0.5517448252230825,0.5820450414498283,0.43522412319316084,0.30678821767792075,0.4903520596979278,0.42210406949605783,0.2722982797265431,0.4255210510521554,0.6614405232911285,0.5905433898951645,0.2897618467084511,0.6265455425658866,0.6545830084373584
