,pmid,aff,year,country,institution_type
0,15448372,"""Division of Cancer Research, Institute of Biomedical Science, Academia Sinica, Taipei, Taiwan, Republic of China.""",2004,China,institute
1,15448372,"""Institute of Clinical Medicine, National Yang-Ming University, Division of Gastroenterology, Department of Medicine, Taipei Veterans General Hospital, 201 Shih-Pai Road, Sec. 2, Taipei 112, Taiwan, Republic of China.""",2004,China,hospital
2,15448372,"""Department of Research and Education, Taipei Veterans General Hospital, Taipei, Taiwan, Republic of China.""",2004,China,hospital
3,15448372,"""Institute of Microbiology and Immunology, National Yang-Ming University, Taipei, Taiwan, Republic of China.""",2004,China,university
4,15140958,"""Department of Immunology, Peking University Health Science Centre, 38, Xueyuanlu, Beijing, 100083, People&#x27;s Republic of China.""",2004,China,university
5,15104671,"""Division of Experimental Immunology, Institute of Medical Microbiology and Immunology (IMMI), University of Copenhagen, Building 18.3, Panum Institute, Blegdamsvej 3, 2200 Copenhagen N, Denmark.""",2004,Denmark,university
6,15368525,"""FRE 2736 CNRS / bioM\xc3\xa9rieux, IFR 128 BioSciences Lyon-Gerland, Lyon, France.""",2004,France,private
7,15538043,"""Department of Surgery, Washington University School of Medicine, St. Louis, MO 63110, USA. jaramilloa@wustl.edu""",2004,United States,university
8,15116427,"""Department of Biomedical Informatics, Clinical Pathology and Immunology, Kobe University Graduate School of Medicine, 7-5-1 Kusunoki-cho, Chuo-Ku, Kobe 650-0017, Japan.""",2004,Japan,university
9,15382068,"""Department of Internal Medicine, University of Iowa Hospital and Clinics and VA Medical Center, Iowa City, IA, USA.""",2004,United States,hospital
10,11782012,"""The Smoler Protein Center, Department of Biology, Technion, Haifa, Israel.""",2002,Israel,university
11,15153496,"""Institut f\xc3\xbcr Medizinische Immunologie der Charit\xc3\xa9, Humboldt-Universit\xc3\xa4t zu Berlin (Charit\xc3\xa9), Campus Charit\xc3\xa9 Mitte, Berlin, Germany.""",2004,Germany,university
12,15305339,"""Clinical Immunology, Rudbeck Laboratory, Uppsala University, Uppsala, Sweden.""",2004,Sweden,university
13,15501984,"""Section of Bone Marrow Transplant and Cell Therapy, Rush University Medical Center, Chicago, Illinois, USA. jooeun_bae@dfci.harvard.edu""",2004,United States,university
14,15039371,"""Laboratory of Molecular Immunology, Public Health Research Institute, Newark, New Jersey 07103, USA.""",2004,United States,institute
15,15609329,"""Section of Infection and Immunity, Henry Wellcome Building, Wales College of Medicine, Cardiff University, Heath Park, Cardiff, United Kingdom.""",2005,United Kingdom,university
16,15016646,"""Institute of Immunology, Second Military Medical University, Shanghai, People&#x27;s Republic of China.""",2004,China,university
17,14734527,"""Institut f\xc3\xbcr Kristallographie, Freie Universit\xc3\xa4t Berlin, 14195 Berlin, Germany.""",2004,Germany,university
18,15004033,"""Protein Crystallography Unit and Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Clayton, Victoria 3800, Australia.""",2004,Australia,university
19,15494511,"""Department of Visceral and Transplant Surgery, Hannover Medical School, Hannover, Germany. probst-kepper.michael@mh-hannover.de""",2004,Germany,university
20,12010981,"""Argonex, Inc., Charlottesville, Virginia 22903, USA.""",2002,United States,private
21,12356679,"""Laboratoire d&#x27;Immunologie Exp\xc3\xa9rimentale (CP 615), Facult\xc3\xa9 de M\xc3\xa9decine, Universit\xc3\xa9 Libre de Bruxelles, 808 route de Lennik, 1070 Brussels, Belgium.""",2002,Belgium,university
22,11836437,"""Institute of Virology, Erasmus University Rotterdam, Dr. Molewaterplein 50, 3015 GE Rotterdam, The Netherlands.""",2002,Netherlands,university
23,12778479,"""Department of Medical Microbiology, University of Mainz, Germany.""",2003,Germany,university
